acn,name,date,status,type,suburb,state,postcode
701875005,AC TIMES TWO PTY LTD,2026-08-30,Registered,Australian Proprietary Company,SOUTH MELBOURNE,VIC,3205
702058320,GALLERIA HOLDINGS PTY LTD,2026-09-04,Registered,Australian Proprietary Company,PORT MACQUARIE,NSW,2444
702058384,NCUBE GROUP PTY LTD,2026-09-04,Registered,Australian Proprietary Company,PAKENHAM,VIC,3810
702058428,BASHOUR HOLDING PTY LTD,2026-09-04,Registered,Australian Proprietary Company,ROBINA,QLD,4226
702058482,RELAF GROUP PTY LTD,2026-09-04,Registered,Australian Proprietary Company,HEDDON GRETA,NSW,2321
702058580,EPD HTC PTY LTD,2026-09-04,Registered,Australian Proprietary Company,UPWEY,VIC,3158
702058624,YERRABI YURWANG MONCRIEF LIMITED,2026-09-04,Registered,Australian Public Company,ACTON,ACT,2601
702058642,SDWSF PTY LTD,2026-09-04,Registered,Australian Proprietary Company,ROBINA,QLD,4226
702058660,ARCH DESIGNS BUILDING GROUP PTY LTD,2026-09-04,Registered,Australian Proprietary Company,MILL PARK,VIC,3082
702058688,ALADUN CAPITAL HOLDINGS PTY LTD,2026-09-04,Registered,Australian Proprietary Company,WOLLONGONG,NSW,2500
702058704,BISSC HOLDINGS PTY LTD,2026-09-04,Registered,Australian Proprietary Company,BRISBANE CITY,QLD,4000
702058740,NUMBERS LOCAL PTY LTD,2026-09-04,Registered,Australian Proprietary Company,MAROOCHYDORE,QLD,4558
702058820,IM HARD FOR YOUR WOOD PTY LTD,2026-09-04,Registered,Australian Proprietary Company,DOCKLANDS,VIC,3008
702058848,SAFE STATE ENGINEERING PTY LTD,2026-09-04,Registered,Australian Proprietary Company,SUBIACO,WA,6008
702058866,HK CHOPRA PTY LTD,2026-09-04,Registered,Australian Proprietary Company,WELLARD,WA,6170
702059087,LUMA LIGHTING PTY. LTD.,2026-09-04,Registered,Australian Proprietary Company,SEAFORD,VIC,3198
702059103,TRACY HOME CARE PTY LTD,2026-09-04,Registered,Australian Proprietary Company,BURWOOD,NSW,2134
702059247,JOLLY PHARM PTY LTD,2026-09-04,Registered,Australian Proprietary Company,PERTH,WA,6000
702059283,CALLI CAPITAL PTY LTD,2026-09-04,Registered,Australian Proprietary Company,MOUNT WAVERLEY,VIC,3149
702059381,D & K MULLINS PROPERTY PTY LTD,2026-09-04,Registered,Australian Proprietary Company,MURRUMBA DOWNS,QLD,4503
702059425,AVELIN HOLDINGS PTY LTD,2026-09-04,Registered,Australian Proprietary Company,SOUTHBANK,VIC,3006
702059541,BREGENHOJ FAMILY PTY LTD,2026-09-04,Registered,Australian Proprietary Company,MONA VALE,NSW,2103
702059649,SONA ADVISORY GROUP PTY LTD,2026-09-04,Registered,Australian Proprietary Company,SYDNEY,NSW,2000
702059667,LEAF ENVIRONMENTAL PTY LTD,2026-09-04,Registered,Australian Proprietary Company,HAMPSTEAD GARDENS,SA,5086
702059685,MACQUARIE DC INFRASTRUCTURE PTY LIMITED,2026-09-04,Registered,Australian Proprietary Company,SYDNEY,NSW,2000
702059747,GROW CAPITAL GROUP PTY LTD,2026-09-04,Registered,Australian Proprietary Company,VARSITY LAKES,QLD,4227
702059809,N & J CONLAN INVESTMENTS PTY LTD,2026-09-04,Registered,Australian Proprietary Company,BARWON HEADS,VIC,3227
702059863,WELLSCORP GROUP PTY LTD,2026-09-04,Registered,Australian Proprietary Company,SEVENTEEN MILE ROCKS,QLD,4073
702059881,RAGGEDY BITS & CO PTY LTD,2026-09-04,Registered,Australian Proprietary Company,BOWEN MOUNTAIN,NSW,2753
