name,acn,role,date,state,abn,status,stem,in_stack,stack_has_bidco,is_bidco
AURUM GP2 BIDCO PTY LTD,702293258,BIDCO,11/09/2026,,True,REGD,AURUM GP2,True,True,True
AURUM GP2 HOLDCO PTY LTD,702291629,HOLDCO,11/09/2026,,True,REGD,AURUM GP2,True,True,False
NXG HOLDCO PTY LTD,702288300,HOLDCO,11/09/2026,,True,REGD,NXG,False,False,False
WATERLOO AUS FINCO PTY LTD,702287241,FINCO,11/09/2026,,True,REGD,WATERLOO,True,False,False
WATERLOO AUS MIDCO PTY LTD,702287090,MIDCO,11/09/2026,,True,REGD,WATERLOO,True,False,False
WATERLOO AUS HOLDCO PTY LTD,702286762,HOLDCO,11/09/2026,,True,REGD,WATERLOO,True,False,False
WATERLOO AUS TOPCO PTY LTD,702286280,TOPCO,11/09/2026,,True,REGD,WATERLOO,True,False,False
OA GP2 BIDCO PTY LTD,702284839,BIDCO,11/09/2026,,True,REGD,OA GP2,True,True,True
AURORA AUS BIDCO PTY LTD,702282933,BIDCO,11/09/2026,,True,REGD,AURORA,True,True,True
AURORA AUS NEWCO PTY LTD,702281445,NEWCO,11/09/2026,,True,REGD,AURORA,True,True,False
OA GP2 HOLDCO PTY LTD,702279883,HOLDCO,11/09/2026,,True,REGD,OA GP2,True,True,False
ARTEMIS ADVISORY HOLDCO PTY LTD,702277861,HOLDCO,11/09/2026,,True,REGD,ARTEMIS ADVISORY,False,False,False
MIDCO ACCOUNTING PTY LTD,702208277,MIDCO,09/09/2026,,True,REGD,ACCOUNTING,False,False,False
BRUSHY CREEK HOLDCO PTY LIMITED,702207029,HOLDCO,09/09/2026,,True,REGD,BRUSHY CREEK,False,False,False
BLOOMJAR MIDCO. PTY LTD,702199479,MIDCO,09/09/2026,,True,REGD,BLOOMJAR,True,False,False
RDG ELSTERNWICK HOLDCO PTY LTD,702198525,HOLDCO,09/09/2026,,True,REGD,RDG ELSTERNWICK,False,False,False
HAMILTON BIDCO PTY LTD,702141722,BIDCO,07/09/2026,,True,REGD,HAMILTON,True,True,True
HAMILTON HOLDCO PTY LTD,702140449,HOLDCO,07/09/2026,,True,REGD,HAMILTON,True,True,False
NSK HOLDCO PTY LTD,702135591,HOLDCO,07/09/2026,,True,REGD,NSK,False,False,False
BLOOMJAR HOLDCO. PTY LTD,702113933,HOLDCO,07/09/2026,,True,REGD,BLOOMJAR,True,False,False
A CLASS HOLDCO PTY LTD,702084160,HOLDCO,07/09/2026,,True,REGD,A CLASS,False,False,False
GROUNDSWELL HOLDCO PTY LTD,702069627,HOLDCO,04/09/2026,,True,REGD,GROUNDSWELL,False,False,False
PBSP - CARE FOR ALL HOLDCO PTY LTD,702028331,HOLDCO,03/09/2026,,True,REGD,PBSP CARE FOR ALL,False,False,False
WALTERS HOLDCO PTY LTD,702026079,HOLDCO,03/09/2026,,True,REGD,WALTERS,False,False,False
LAM1 FINCO PTY LTD,702025241,FINCO,03/09/2026,,True,REGD,LAM1,False,False,False
STELLAR BIDCO PTY LTD,702023596,BIDCO,03/09/2026,,True,REGD,STELLAR,False,False,True
SEEKER AGENCY (NEWCO) PTY LTD,702014622,NEWCO,03/09/2026,,True,REGD,SEEKER AGENCY,False,False,False
SOLUTION ENTERTAINMENT SERVICES (NEWCO) PTY LTD,702014131,NEWCO,03/09/2026,,True,REGD,SOLUTION ENTERTAINMENT SERVICES,False,False,False
SOLUTION ENTERTAINMENT (NEWCO) PTY LTD,702014104,NEWCO,03/09/2026,,True,REGD,SOLUTION ENTERTAINMENT,False,False,False
BUNDEY MIDCO PTY LTD,701991960,MIDCO,02/09/2026,,True,REGD,BUNDEY,False,False,False
NSW 1 MIDCO PTY LTD,701990132,MIDCO,02/09/2026,,True,REGD,NSW 1,False,False,False
INA FINCO PTY LTD,701924272,FINCO,01/09/2026,,True,REGD,INA,False,False,False
CDC SPV TOPCO NO 2 PTY LTD,701915077,TOPCO,31/08/2026,,True,REGD,CDC SPV,True,False,False
CDC HORIZON MIDCO 2 PTY LTD,701914776,MIDCO,31/08/2026,,True,REGD,CDC HORIZON 2,False,False,False
CDC SPV TOPCO NO 1 PTY LTD,701914570,TOPCO,31/08/2026,,True,REGD,CDC SPV,True,False,False
CDC HORIZON MIDCO 1 PTY LTD,701914123,MIDCO,31/08/2026,,True,REGD,CDC HORIZON 1,False,False,False
CDC HORIZON HOLDCO PTY LTD,701912816,HOLDCO,31/08/2026,,True,REGD,CDC HORIZON,False,False,False
AIRTRUNK HTR1B FINCO PTY LTD,701908358,FINCO,31/08/2026,,True,REGD,AIRTRUNK HTR1B,True,False,False
AIRTRUNK HTR1A FINCO PTY LTD,701908312,FINCO,31/08/2026,,True,REGD,AIRTRUNK HTR1A,True,False,False
ISOTOPE FINCO 3 PTY LTD,701850071,FINCO,28/08/2026,,True,REGD,ISOTOPE 3,False,False,False
ISOTOPE AUSTRALIA HOLDCO PTY LTD,701849845,HOLDCO,28/08/2026,,True,REGD,ISOTOPE,False,False,False
